Section,Dimension,Question ID,Sub-Question,Question Text,Data Type,Response Options,Unit,Impact Metric 1,Impact Metric 2,Impact Metric 3,Notes
VALUE,Strategic Goals,Q34,j,Integration Success Rate,Numeric Input,,%,,,,
VALUE,Strategic Goals,Q34,k,Average IRR on Strategic Investments,Numeric Input,,%,,,,
VALUE,Strategic Goals,Q34,l,Target IRR,Numeric Input,,%,,,,For comparison
VALUE,Strategic Goals,Q34,m,Payback Period (Average),Numeric Input,,Years,,,,
VALUE,Strategic Goals,Q34,n,Value Created/Destroyed,Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q34,o,Stratex at Risk from Poor Returns,Currency + Numeric,,"Currency Amount",Stratex at Risk,,,Financial impact
VALUE,Strategic Goals,Q34,p,Opportunity Cost of Failed Investments,Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q34,q,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Reputation,Q35,a,Stock Price Performance (Past Year) - Public Co,Numeric Input,,+/- %,,,,"If public company"
VALUE,Reputation,Q35,b,Stock Price vs Sector Average,Numeric Input,,+/- Percentage Points,,,,
VALUE,Reputation,Q35,c,Analyst Recommendations - Buy,Numeric Input,,Number,,,,
VALUE,Reputation,Q35,d,Analyst Recommendations - Hold,Numeric Input,,Number,,,,
VALUE,Reputation,Q35,e,Analyst Recommendations - Sell,Numeric Input,,Number,,,,
VALUE,Reputation,Q35,f,Investor Sentiment Score,Numeric Input,,/10,,,,"If measured, otherwise use rating"
VALUE,Reputation,Q35,f-alt,Investor Sentiment Rating,Multiple Choice,"Positive, Neutral, Negative",,,,,"If not measured"
VALUE,Reputation,Q35,g,Valuation Trend (Private Co),Multiple Choice,"Up, Stable, Down",,,,,"If private company"
VALUE,Reputation,Q35,h,Investor Confidence Rating,Scale 1-5,1-5 scale,,,,,"For private companies"
VALUE,Reputation,Q35,i,Customer Trust Score,Numeric Input,,% or /10,,,,"If measured, otherwise N/A"
VALUE,Reputation,Q35,j,% Customers Who Would Recommend,Numeric Input,,%,,,,
VALUE,Reputation,Q35,k,Customer Retention Rate,Numeric Input,,%,,,,
VALUE,Reputation,Q35,l,Trust Trend vs Last Year,Multiple Choice,"Improving, Stable, Declining",,,,,
VALUE,Reputation,Q35,m,Employee Trust in Leadership,Numeric Input,,% or /10,,,,"If measured"
VALUE,Reputation,Q35,n,Employee Net Promoter Score (eNPS),Numeric Input,,Score,,,,
VALUE,Reputation,Q35,o,Glassdoor Rating (or Equivalent),Numeric Input,,/5,,,,
VALUE,Reputation,Q35,p,% Employees Who Trust Company Direction,Numeric Input,,%,,,,
VALUE,Reputation,Q35,q,Revenue at Risk from Trust Erosion,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
VALUE,Reputation,Q35,r,Investment/Funding at Risk,Currency + Numeric,,"Currency Amount",,,,
VALUE,Reputation,Q35,s,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Reputation,Q36,a,Media Mentions (Past Year),Numeric Input,,Number,,,,
VALUE,Reputation,Q36,b,% Positive Coverage,Numeric Input,,%,,,,
VALUE,Reputation,Q36,c,% Negative Coverage,Numeric Input,,%,,,,
VALUE,Reputation,Q36,d,% Neutral Coverage,Numeric Input,,%,,,,
VALUE,Reputation,Q36,e,Media Sentiment Score,Numeric Input,,"/100 or -5 to +5",,,,
VALUE,Reputation,Q36,f,Social Media Followers (Total),Numeric Input,,Number,,,,Across all platforms
VALUE,Reputation,Q36,g,Follower Growth Rate,Numeric Input,,+/- %,,,,
VALUE,Reputation,Q36,h,Social Media Engagement Rate,Numeric Input,,%,,,,
VALUE,Reputation,Q36,i,Social Media Sentiment,Numeric Input,,% Positive,,,,
VALUE,Reputation,Q36,j,Social Media Crises (Past Year),Numeric Input,,Number,,,,
VALUE,Reputation,Q36,k,PR Crises Managed (Past Year),Numeric Input,,Number,,,,
VALUE,Reputation,Q36,l,Average Crisis Resolution Time,Numeric Input,,Days,,,,
VALUE,Reputation,Q36,m,Brand Reputation Score,Numeric Input,,/100,,,,"If measured"
VALUE,Reputation,Q36,n,Visibility/Awareness in Target Market,Numeric Input,,%,,,,
VALUE,Reputation,Q36,o,Revenue at Risk from Poor Perception,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
VALUE,Reputation,Q36,p,Customer Acquisition Cost Impact,Numeric Input,,+/- %,,,,
VALUE,Reputation,Q36,q,Reputation Recovery Cost Estimate,Currency + Numeric,,"Currency Amount",,,,
VALUE,Reputation,Q37,a,ESG Rating,Text or Numeric,,"AAA-D or Score/100",,,,"If rated"
VALUE,Reputation,Q37,b,Rating Agency,Multiple Choice,"MSCI, Sustainalytics, Other, Not Rated",,,,,
VALUE,Reputation,Q37,c,Carbon Footprint (Scope 1+2),Numeric Input,,Tonnes CO2e per Year,,,,
VALUE,Reputation,Q37,d,Carbon Intensity,Numeric Input,,Tonnes CO2e per $ Revenue,,,,
VALUE,Reputation,Q37,e,% Reduction Target YoY,Numeric Input,,%,,,,
VALUE,Reputation,Q37,f,Actual Reduction Achieved,Numeric Input,,%,,,,
VALUE,Reputation,Q37,g,% Energy from Renewable Sources,Numeric Input,,%,,,,
VALUE,Reputation,Q37,h,% Materials Recycled/Reused,Numeric Input,,%,,,,
VALUE,Reputation,Q37,i,Waste Reduction YoY,Numeric Input,,+/- %,,,,
VALUE,Reputation,Q37,j,Investment in Sustainability,Currency or Numeric,,"Currency or % of Revenue",,,,
VALUE,Reputation,Q37,k,Sustainability Certifications,Multi-Select,"B Corp, Carbon Neutral, Other, None",,,,,
VALUE,Reputation,Q37,l,% Women in Leadership,Numeric Input,,%,,,,
VALUE,Reputation,Q37,m,% Underrepresented Groups in Leadership,Numeric Input,,%,,,,
VALUE,Reputation,Q37,n,Community Investment,Currency or Numeric,,"Currency or % of Profit",,,,
VALUE,Reputation,Q37,o,ESG Incidents/Violations,Numeric Input,,Number,,,,
VALUE,Reputation,Q37,p,ESG-Related Fines (Past 3 Years),Currency + Numeric,,"Currency Amount",,,,
VALUE,Reputation,Q37,q,Revenue at Risk from ESG Issues,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
VALUE,Reputation,Q37,r,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,
VALUE,Reputation,Q37,s,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Reputation,Q37,t,Investment Exclusion Risk,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,a,Total Debt,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,b,Short-Term Debt,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,c,Long-Term Debt,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,d,Debt/EBITDA Ratio,Numeric Input,,Ratio,,,,
ECONOMICS,Financials,Q38,e,Debt/Equity Ratio,Numeric Input,,Ratio,,,,
ECONOMICS,Financials,Q38,f,Interest Coverage Ratio (EBITDA/Interest),Numeric Input,,Ratio,,,,
ECONOMICS,Financials,Q38,g,Annual Interest Expense,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,h,Principal Repayments (Next 12 Months),Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,i,Total Debt Service (Next 12 Months),Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,j,Debt Service Coverage Ratio,Numeric Input,,Ratio,,,,
ECONOMICS,Financials,Q38,k,Number of Debt Covenants,Numeric Input,,Number,,,,
ECONOMICS,Financials,Q38,l,Covenants At Risk of Breach,Numeric Input,,Number,,,,
ECONOMICS,Financials,Q38,m,Headroom on Most Restrictive Covenant,Numeric Input,,%,,,,
ECONOMICS,Financials,Q38,n,Covenant Waivers (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q38,o,Interest Expense at Risk from Rate Increases,Currency + Numeric,,"Currency Amount",Interest Expense at Risk,,,Financial impact
ECONOMICS,Financials,Q38,p,Refinancing Risk Amount,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q38,q,Enterprise Viability if Debt Service Issues,Scale 1-5,1-5 scale,,,,,"Qualitative impact"
ECONOMICS,Financials,Q39,a,Credit Rating,Multiple Choice,"AAA, AA, A, BBB, BB, B, CCC, Not Rated",,,,,
ECONOMICS,Financials,Q39,b,Rating Outlook,Multiple Choice,"Positive, Stable, Negative, N/A",,,,,
ECONOMICS,Financials,Q39,c,Rating Downgrades (Past 2 Years),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q39,d,Rating Upgrades (Past 2 Years),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q39,e,Maximum Borrowing Capacity,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,f,Current Borrowing,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,g,Number of Banking Relationships,Numeric Input,,Number,,,,
ECONOMICS,Financials,Q39,h,Available Undrawn Credit Facilities,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,i,Cost of Debt (Weighted Average),Numeric Input,,%,,,,
ECONOMICS,Financials,Q39,j,Last Equity Raise Date,Date Input,,Date,,,,
ECONOMICS,Financials,Q39,k,Last Equity Raise Amount,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,l,Estimated Capital Needs (Next 12 Months),Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,m,Planned Capex,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,n,Planned Stratex,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,o,Funding Gap (If Any),Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q39,p,Capex at Risk from Funding Constraints,Currency + Numeric,,"Currency Amount",Capex at Risk,,,Financial impact
ECONOMICS,Financials,Q39,q,Stratex at Risk,Currency + Numeric,,"Currency Amount",,Stratex at Risk,,
ECONOMICS,Financials,Q39,r,Growth Opportunities Limited,Currency or Numeric,,"Currency or % of Opportunity",,,,
ECONOMICS,Financials,Q40,a,Audit Opinion (Last Audit),Multiple Choice,"Unqualified, Qualified, Adverse, Disclaimer",,,,,
ECONOMICS,Financials,Q40,b,Material Weaknesses Identified,Numeric Input,,Number,,,,
ECONOMICS,Financials,Q40,c,Significant Deficiencies,Numeric Input,,Number,,,,
ECONOMICS,Financials,Q40,d,Time to Close Books (Monthly),Numeric Input,,Days,,,,
ECONOMICS,Financials,Q40,e,Time to Produce Annual Report,Numeric Input,,Days,,,,
ECONOMICS,Financials,Q40,f,Financial Control Failures (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q40,g,Fraud Incidents Detected (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q40,h,Value of Fraud Losses,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Financials,Q40,i,Financial Restatements (Past 3 Years),Numeric Input,,Number,,,,
ECONOMICS,Financials,Q40,j,Value of Restatements,Currency or Numeric,,"Currency or % of Revenue",,,,
ECONOMICS,Financials,Q40,k,ERP System,Text Input,,Name/Vendor,,,,
ECONOMICS,Financials,Q40,l,Age of Financial Systems,Numeric Input,,Years,,,,
ECONOMICS,Financials,Q40,m,% Financial Processes Automated,Numeric Input,,%,,,,
ECONOMICS,Financials,Q40,n,Finance Team Size,Numeric Input,,Number of FTEs,,,,
ECONOMICS,Financials,Q40,o,Finance Cost as % of Revenue,Numeric Input,,%,,,,
ECONOMICS,Financials,Q40,p,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,Financial impact
ECONOMICS,Financials,Q40,q,Restatement Risk Impact,Scale 1-5,1-5 scale,,,,,"Qualitative impact"
ECONOMICS,Financials,Q40,r,Enterprise Value Impact from Control Issues,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ECONOMICS,Business Model,Q41,a,Years Current Business Model in Operation,Numeric Input,,Years,,,,
ECONOMICS,Business Model,Q41,b,Major Business Model Pivots (Past 5 Years),Numeric Input,,Number,,,,
ECONOMICS,Business Model,Q41,c,Closest Competitor with Similar Model,Text Input (Optional),,Name,,,,
ECONOMICS,Business Model,Q41,d,Business Model Uniqueness Rating,Scale 1-5,"1=Highly Unique, 5=Commoditized",,,,,"Qualitative assessment"
ECONOMICS,Business Model,Q41,e,CAC Payback Period,Numeric Input,,Months,,,,
ECONOMICS,Business Model,Q41,f,LTV/CAC Ratio,Numeric Input,,Ratio,,,,"From earlier data or entered"
ECONOMICS,Business Model,Q41,g,Gross Margin per Customer/Unit,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q41,h,Contribution Margin,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q41,i,Break-Even Status,Multiple Choice,"Achieved, Months Away, Years Away",,,,,
ECONOMICS,Business Model,Q41,j,Break-Even Timeline,Numeric Input,,Months or Years,,,,"If not achieved"
ECONOMICS,Business Model,Q41,k,Disruptive Competitors/Threats Identified,Numeric Input,,Number,,,,
ECONOMICS,Business Model,Q41,l,% Revenue from Disruptable Lines,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q41,m,Investment in Business Model Innovation,Currency or Numeric,,"Currency or % of Revenue",,,,
ECONOMICS,Business Model,Q41,n,Time to Pivot Business Model if Needed,Numeric Input,,Months Estimate,,,,
ECONOMICS,Business Model,Q41,o,Revenue at Risk from Disruption,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
ECONOMICS,Business Model,Q41,p,Enterprise Value at Risk,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ECONOMICS,Business Model,Q41,q,Transformation Investment Required,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Business Model,Q42,a,Gross Revenue Retention Rate,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,b,Net Revenue Retention Rate,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,c,Customer Churn Rate (Annual),Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,d,Logo Retention Rate,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,e,Expansion Revenue as % of Total,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,f,Average Price Increase (Past Year),Numeric Input,,+/- %,,,,
ECONOMICS,Business Model,Q42,g,Customer Acceptance of Price Increases,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,h,Price Elasticity,Multiple Choice,"High, Medium, Low",,,,,"Estimated sensitivity"
ECONOMICS,Business Model,Q42,i,Pricing vs Competitors,Numeric Input,,+/- %,,,,"Positive = premium"
ECONOMICS,Business Model,Q42,j,Discount Rate (% Customers on Discount),Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,k,% Revenue Under Contract (>12 Months),Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,l,Average Customer Contract Length,Numeric Input,,Months,,,,
ECONOMICS,Business Model,Q42,m,Backlog/Deferred Revenue,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Business Model,Q42,n,Book-to-Bill Ratio,Numeric Input,,Ratio,,,,
ECONOMICS,Business Model,Q42,o,Revenue Visibility (Months),Numeric Input,,Months,,,,
ECONOMICS,Business Model,Q42,p,Revenue at Risk from Retention Issues,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
ECONOMICS,Business Model,Q42,q,Customer Lifetime Value Decline Potential,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q42,r,Margin Compression Risk,Numeric Input,,Percentage Points,,,,
ECONOMICS,Business Model,Q43,a,Marginal Cost per Additional Customer/Unit,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Business Model,Q43,b,Marginal Cost as % of ASP,Numeric Input,,%,,,,Average Selling Price
ECONOMICS,Business Model,Q43,c,Fixed Costs as % of Total Costs,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q43,d,Variable Costs as % of Total Costs,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q43,e,Operating Leverage,Numeric Input,,%,,,,"% change in profit for 10% revenue increase"
ECONOMICS,Business Model,Q43,f,Revenue Growth Past 2 Years,Numeric Input,,% CAGR,,,,
ECONOMICS,Business Model,Q43,g,Employee Growth Past 2 Years,Numeric Input,,% CAGR,,,,
ECONOMICS,Business Model,Q43,h,Revenue per Employee Growth,Numeric Input,,+/- %,,,,
ECONOMICS,Business Model,Q43,i,Capacity Utilization,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q43,j,Capacity Headroom Before Major Investment,Numeric Input,,%,,,,
ECONOMICS,Business Model,Q43,k,Primary Scaling Bottleneck,Multiple Choice,"Capital, Talent, Technology, Market Size, Operations, None",,,,,
ECONOMICS,Business Model,Q43,l,Investment to Scale 2x,Currency + Numeric,,"Currency Amount",,,,Estimated investment required
ECONOMICS,Business Model,Q43,m,Time to Scale 2x at Current Rate,Numeric Input,,Months or Years,,,,
ECONOMICS,Business Model,Q43,n,Maximum Achievable Scale with Current Model,Currency + Numeric,,"Currency Revenue Estimate",,,,
ECONOMICS,Business Model,Q43,o,Revenue Growth Limited To,Numeric Input,,% Annual Growth Rate,Revenue Growth Limited,,,Financial impact
ECONOMICS,Business Model,Q43,p,Capex/Opex Required for 2x Scale,Currency + Numeric,,"Currency Amount",,Capex/Opex at Risk,,
ECONOMICS,Business Model,Q43,q,Market Opportunity Unable to Capture,Currency or Numeric,,"Currency or % of TAM",,,,
ECONOMICS,External Environment,Q44,a,Revenue Correlation with GDP,Multiple Choice,"High, Medium, Low, Inverse",,,,,
ECONOMICS,External Environment,Q44,b,Historical Revenue Decline in Last Recession,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q44,c,Industry Cyclicality,Multiple Choice,"Highly Cyclical, Cyclical, Stable, Counter-cyclical",,,,,
ECONOMICS,External Environment,Q44,d,Economic Elasticity,Numeric Input,,%,,,,"% revenue change for 1% GDP change"
ECONOMICS,External Environment,Q44,e,% Revenue from Recession-Resistant Segments,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q44,f,% Customers in Vulnerable Industries,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q44,g,Geographic Revenue in High-Risk Markets,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q44,h,Currency Exposure (% Revenue in Foreign FX),Numeric Input,,%,,,,
ECONOMICS,External Environment,Q44,i,Interest Rate Sensitivity,Numeric Input,,"Basis Points = Currency Impact",,,,
ECONOMICS,External Environment,Q44,j,Inflation Sensitivity,Numeric Input,,"% Inflation = % Cost Increase",,,,
ECONOMICS,External Environment,Q44,k,FX Exposure Impact,Numeric Input,,"% Revenue Impact from 10% FX Move",,,,
ECONOMICS,External Environment,Q44,l,Revenue at Risk in Downturn,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
ECONOMICS,External Environment,Q44,m,EBITDA at Risk,Currency + Numeric,,"Currency Amount",EBITDA at Risk,,,
ECONOMICS,External Environment,Q44,n,Enterprise Value Impact in Downturn,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ECONOMICS,External Environment,Q45,a,Regulatory Bodies Overseeing Business,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q45,b,Licenses/Permits Required to Operate,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q45,c,Compliance Cost as % of Revenue,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q45,d,Regulatory Reporting Frequency,Multiple Choice,"Daily, Weekly, Monthly, Quarterly, Annually",,,,,
ECONOMICS,External Environment,Q45,e,Upcoming Regulatory Changes Affecting Business,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q45,f,Cost to Comply with Pending Regulations,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,External Environment,Q45,g,Implementation Timeline for Pending Regs,Numeric Input,,Months,,,,
ECONOMICS,External Environment,Q45,h,Current Regulatory Compliance Score,Numeric or Choice,,"% or Fully/Mostly/Partially/Non-compliant",,,,
ECONOMICS,External Environment,Q45,i,% Revenue from Politically Unstable Regions,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q45,j,Markets with Political Risk,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q45,k,Political Risk Insurance Coverage,Currency or None,,"Currency Amount or None",,,,
ECONOMICS,External Environment,Q45,l,Government Customer Concentration,Numeric Input,,% of Revenue,,,,
ECONOMICS,External Environment,Q45,m,Compliance Costs at Risk,Currency + Numeric,,"Currency Amount",Compliance Costs at Risk,,,Financial impact
ECONOMICS,External Environment,Q45,n,Revenue at Risk from Regulatory Changes,Currency or Numeric,,"Currency or %",,Revenue at Risk,,
ECONOMICS,External Environment,Q45,o,Stratex Required for Compliance,Currency + Numeric,,"Currency Amount",,Stratex at Risk,,
ECONOMICS,External Environment,Q45,p,Operating License Risk Level,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,External Environment,Q46,a,Number of Direct Competitors,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q46,b,New Competitors (Past 2 Years),Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q46,c,Competitive Intensity Rating,Scale 1-5,"1=Low, 5=Extreme",,,,,"Qualitative assessment"
ECONOMICS,External Environment,Q46,d,Barriers to Entry Strength,Scale 1-5,"1=Very High Barriers, 5=No Barriers",,,,,"Qualitative assessment"
ECONOMICS,External Environment,Q46,e,Potential Disruptors Identified,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q46,f,Price Competition Intensity,Scale 1-5,"1=No Price Competition, 5=Extreme Price Wars",,,,,"Qualitative assessment"
ECONOMICS,External Environment,Q46,g,Average Price Decline (Past 2 Years),Numeric Input,,% per Year,,,,
ECONOMICS,External Environment,Q46,h,Market Share Lost to Competitors (Past Year),Numeric Input,,Percentage Points,,,,
ECONOMICS,External Environment,Q46,i,Customer Win Rate (Competitive),Numeric Input,,%,,,,Wins vs losses
ECONOMICS,External Environment,Q46,j,Disruptive Technologies Threatening Business,Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q46,k,% Revenue from Disruption-Vulnerable Products,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q46,l,Time Horizon for Major Disruption,Multiple Choice,"<1 Year, 1-2 Years, 3-5 Years, >5 Years, No Threat",,,,,
ECONOMICS,External Environment,Q46,m,Investment in Counter-Disruption,Currency or Numeric,,"Currency or % of Stratex",,,,
ECONOMICS,External Environment,Q46,n,Revenue at Risk from Competition,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
ECONOMICS,External Environment,Q46,o,Market Share at Risk,Numeric Input,,Percentage Points,,Market Share at Risk,,
ECONOMICS,External Environment,Q46,p,Margin Compression Potential,Numeric Input,,Percentage Points,,,,
ECONOMICS,External Environment,Q46,q,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ECONOMICS,External Environment,Q47,a,Primary Market Growth Rate,Numeric Input,,% per Year,,,,
ECONOMICS,External Environment,Q47,b,Company Growth vs Market Growth,Numeric Input,,+/- Percentage Points,,,,
ECONOMICS,External Environment,Q47,c,Total Addressable Market (TAM) Size,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,External Environment,Q47,d,Serviceable Addressable Market (SAM),Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,External Environment,Q47,e,Current Market Penetration,Numeric Input,,% of SAM,,,,
ECONOMICS,External Environment,Q47,f,Significant Preference Shifts (Past 2 Years),Numeric Input,,Number,,,,
ECONOMICS,External Environment,Q47,g,% Product Portfolio Aligned with Preferences,Numeric Input,,%,,,,
ECONOMICS,External Environment,Q47,h,Customer Preference Trend,Multiple Choice,"Favorable, Stable, Unfavorable",,,,,
ECONOMICS,External Environment,Q47,i,Time to Adapt to Preference Changes,Numeric Input,,Months,,,,
ECONOMICS,External Environment,Q47,j,Demand Volatility (StdDev Quarterly Revenue),Numeric Input,,%,,,,
ECONOMICS,External Environment,Q47,k,Seasonal Revenue Variation,Numeric Input,,%,,,,"Peak vs trough"
ECONOMICS,External Environment,Q47,l,Product/Service Obsolescence Rate,Numeric Input,,% per Year,,,,
ECONOMICS,External Environment,Q47,m,Market Demand Forecast (Next 2 Years),Multiple Choice,"Growing, Stable, Declining",,,,,
ECONOMICS,External Environment,Q47,n,Market Decline Rate (If Declining),Numeric Input,,%,,,,"If applicable"
ECONOMICS,External Environment,Q47,o,Revenue at Risk from Demand Decline,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
ECONOMICS,External Environment,Q47,p,Customer Churn at Risk,Numeric Input,,% of Customer Base,,,,
ECONOMICS,External Environment,Q47,q,Product Refresh Investment Required,Currency + Numeric,,"Currency Amount",,,,
ECONOMICS,Governance,Q48,a,Number of Board Members,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q48,b,Independent Directors,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q48,c,% Board Independent,Numeric Input,,%,,,,"Calculated or entered"
ECONOMICS,Governance,Q48,d,Average Board Tenure,Numeric Input,,Years,,,,
ECONOMICS,Governance,Q48,e,Board Diversity - % Women,Numeric Input,,%,,,,
ECONOMICS,Governance,Q48,f,Board Diversity - % Underrepresented Groups,Numeric Input,,%,,,,
ECONOMICS,Governance,Q48,g,Number of Board Committees,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q48,h,Board Meeting Frequency,Numeric Input,,Times per Year,,,,
ECONOMICS,Governance,Q48,i,Average Board Attendance,Numeric Input,,%,,,,
ECONOMICS,Governance,Q48,j,Board Evaluation Score,Numeric Input,,/10 or 1-5 scale,,,,"If conducted"
ECONOMICS,Governance,Q48,k,Last Board Evaluation Date,Date Input,,Date,,,,
ECONOMICS,Governance,Q48,l,% Board with Relevant Industry Expertise,Numeric Input,,%,,,,
ECONOMICS,Governance,Q48,m,Board Oversight of Strategy Effectiveness,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q48,n,Board Risk Oversight Effectiveness,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q48,o,CEO Succession Plan,Multiple Choice,"Yes, No, In Development",,,,,
ECONOMICS,Governance,Q48,p,Poor Strategic Decisions (Past 2 Years),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q48,q,Value-Destroying Decisions,Numeric Input,,Number,,,,Financial impact
ECONOMICS,Governance,Q48,r,Enterprise Value Impact from Governance,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ECONOMICS,Governance,Q48,s,Regulatory Risk from Weak Governance,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
ECONOMICS,Governance,Q49,a,Risk Management Framework,Multiple Choice,"ERM, ISO 31000, COSO, Other, None",,,,,
ECONOMICS,Governance,Q49,b,Risk Management Maturity Level,Scale 1-5,"1=Ad Hoc, 5=Optimized",,,,,"Standard maturity scale"
ECONOMICS,Governance,Q49,c,Identified Enterprise Risks,Numeric Input,,Number,,,,
ECONOMICS,Governance,Q49,d,% Risks with Mitigation Plans,Numeric Input,,%,,,,
ECONOMICS,Governance,Q49,e,Risk Assessment Frequency,Multiple Choice,"Continuous, Monthly, Quarterly, Annually",,,,,
ECONOMICS,Governance,Q49,f,Control Framework,Multiple Choice,"COSO, SOX, Other, None",,,,,
ECONOMICS,Governance,Q49,g,Control Failures (Past Year),Numeric Input,,Number,,,,
ECONOMICS,Governance,Q49,h,Internal Audit Coverage,Numeric Input,,% of Organization,,,,
ECONOMICS,Governance,Q49,i,Internal Audit Staff,Numeric Input,,Number of FTEs,,,,
ECONOMICS,Governance,Q49,j,Internal Audit Budget,Currency or Numeric,,"Currency or % of Revenue",,,,
ECONOMICS,Governance,Q49,k,Risk Events Materialized (Past Year),Numeric Input,,Number,,,,
